dataset_name,experiment_params,window_size,threshold,modularity,nmi,ari,n_communities,nodes,edges,density,avg_degree,diameter,avg_shortest_path,scale_free_slope,scale_free_R2,max_out_degree_lead,top_pagerank_node,max_pagerank_val,sum_granger,avg_granger,sum_mutual_info,avg_mutual_info,tau_degree_betweenness,tau_degree_closeness,tau_betweenness_closeness,top_out_degree_lead,top_in_degree_lag,top_betweenness,top_closeness
5m_5d_no_vol,w30_t0.3,30,0.3,2.230314076674489,0.07413917873488447,-0.009229098805646038,4,40,471,0.3019230769230769,23.55,3,1.7423076923076923,-0.064138327217197,0.0019976645644016783,23,SLB,0.043685771012527796,463.46422802347047,0.9840004841262643,0.0,0.0,0.6930236727592375,0.5091738766993671,0.41082130936235894,"MS, TSLA, META, MRK, PBR","META, SLB, MS, AAPL, PYPL","META, MS, TSLA, SLB, PBR","META, SLB, MS, AAPL, BP"
5m_5d_no_vol,w30_t0.4,30,0.4,2.230314076674489,0.07413917873488447,-0.009229098805646038,4,40,471,0.3019230769230769,23.55,3,1.7423076923076923,-0.064138327217197,0.0019976645644016783,23,SLB,0.043685771012527796,463.46422802347047,0.9840004841262643,0.0,0.0,0.6930236727592375,0.5091738766993671,0.41082130936235894,"MS, TSLA, META, MRK, PBR","META, SLB, MS, AAPL, PYPL","META, MS, TSLA, SLB, PBR","META, SLB, MS, AAPL, BP"
5m_5d_no_vol,w60_t0.2,60,0.2,4.930712935854286,0.07315260612708792,-0.027247956403269755,4,40,315,0.20192307692307693,15.75,4,1.9878205128205129,0.010033218983058735,2.8524396213921362e-05,17,JNJ,0.04121137915717959,309.2634958417908,0.9817888756882248,0.0,0.0,0.7033360508681687,0.4149848069939912,0.31284390848929483,"COP, MS, MSFT, CVX, PFE","ADBE, JNJ, AAPL, EQNR, NVO","COP, MSFT, TSLA, V, AMZN","ADBE, JNJ, V, EQNR, NVO"
5m_5d_no_vol,w60_t0.3,60,0.3,4.930712935854286,0.07315260612708792,-0.027247956403269755,4,40,315,0.20192307692307693,15.75,4,1.9878205128205129,0.010033218983058735,2.8524396213921362e-05,17,JNJ,0.04121137915717959,309.2634958417908,0.9817888756882248,0.0,0.0,0.7033360508681687,0.4149848069939912,0.31284390848929483,"COP, MS, MSFT, CVX, PFE","ADBE, JNJ, AAPL, EQNR, NVO","COP, MSFT, TSLA, V, AMZN","ADBE, JNJ, V, EQNR, NVO"
5m_5d_no_vol,w60_t0.4,60,0.4,4.930712935854286,0.07315260612708792,-0.027247956403269755,4,40,315,0.20192307692307693,15.75,4,1.9878205128205129,0.010033218983058735,2.8524396213921362e-05,17,JNJ,0.04121137915717959,309.2634958417908,0.9817888756882248,0.0,0.0,0.7033360508681687,0.4149848069939912,0.31284390848929483,"COP, MS, MSFT, CVX, PFE","ADBE, JNJ, AAPL, EQNR, NVO","COP, MSFT, TSLA, V, AMZN","ADBE, JNJ, V, EQNR, NVO"
5m_5d_with_vol,w120_t0.2,120,0.2,1.8493373800828756,0.11750822536627227,-0.028364323983611724,6,40,930,0.5961538461538461,46.5,2,1.4038461538461537,-0.1204910537142323,0.004145798002125037,31,ADBE,0.03733106586403311,538.4045562279651,0.5789296303526507,155.46077135170864,0.16716211973302,0.8586836672996913,0.7766256946072846,0.6792445832765377,"CVX, INTC, AMZN, PFE, MRK","ADBE, C, AMZN, MSFT, ABBV","AMZN, C, V, MSFT, CVX","ADBE, C, AMZN, MSFT, ABBV"
5m_5d_with_vol,w120_t0.3,120,0.3,3.2073992004644007,0.07451626904642479,-0.04778353483016695,5,40,607,0.3891025641025641,30.35,3,1.6211538461538462,0.1994722713416431,0.024556338023692836,26,ADBE,0.03976141488634789,538.4045562279651,0.8869926791235011,100.70009768741102,0.16589801925438388,0.7593049591731685,0.6769894284807958,0.634401251565077,"PFE, AMZN, CVX, MRK, C","ADBE, ABBV, AMD, AMZN, C","AMZN, MRK, ABBV, C, ADBE","ADBE, ABBV, AMD, AMZN, C"
5m_5d_with_vol,w120_t0.4,120,0.4,3.0769583114636547,0.11502016357284747,-0.014130114807182808,5,40,548,0.35128205128205126,27.4,3,1.6711538461538462,0.29171134335650367,0.03267021858432987,23,ADBE,0.03876314075884996,538.4045562279651,0.9824900661094255,85.28737090023003,0.1556338885040694,0.7597637777597159,0.6531988013011994,0.6134443521226027,"CVX, PFE, MRK, MS, COP","ADBE, ABBV, AMD, AMZN, C","ABBV, MRK, C, SLB, AMZN","ADBE, ABBV, AMD, AMZN, C"
5m_5d_with_vol,w30_t0.2,30,0.2,1.6000702045235617,0.08831884533965445,-0.035331595713872,5,40,1222,0.7833333333333333,61.1,2,1.2166666666666666,0.6899917033405936,0.03316197088522356,37,SLB,0.032958354600571754,463.46422802347047,0.3792669623759988,254.22609698089008,0.20804099589270875,0.7262615457380097,0.6794586914349733,0.5629852404391974,"CVX, MA, MSFT, TSLA, AMD","CVX, MSFT, XOM, AAPL, ADBE","AMD, MSFT, PYPL, MA, TSLA","CVX, MSFT, XOM, AAPL, ADBE"
5m_5d_with_vol,w30_t0.3,30,0.3,2.0070156900899363,0.12036384401854787,-0.008886255924170616,5,40,902,0.5782051282051283,45.1,2,1.4217948717948719,0.5668912409084511,0.05927665594703744,31,META,0.035500738184291135,463.46422802347047,0.5138184346158209,212.53935470721044,0.23563121364435743,0.8259598192686352,0.7465085018626858,0.6493482806458472,"CVX, MS, SLB, TSLA, MSFT","XOM, COP, CVX, BP, AAPL","CVX, SLB, XOM, MS, TSLA","XOM, COP, CVX, BP, AAPL"
5m_5d_with_vol,w30_t0.4,30,0.4,1.579375843978985,0.07071106163695892,-0.04571089344018997,5,40,633,0.40576923076923077,31.65,3,1.5980769230769232,-0.013201696949971784,5.3585617849705354e-05,26,SLB,0.04103272149569722,463.46422802347047,0.7321709763403956,157.7243274791269,0.24916955367950538,0.7934526391302132,0.6793221900194814,0.5684551755188112,"MS, TSLA, NVDA, CVX, META","SLB, TSLA, AAPL, AMD, META","TSLA, SLB, MS, META, AMD","SLB, TSLA, AAPL, AMD, META"
5m_5d_with_vol,w60_t0.2,60,0.2,23.734213532927424,0.02312916619859774,-0.041146216017634095,3,40,1009,0.6467948717948718,50.45,2,1.3532051282051283,0.4213334860551616,0.02406042098493355,33,V,0.03703890901620256,309.2634958417908,0.3065049512802684,210.66240484797908,0.20878335465607437,0.8047857464444171,0.6270740887012634,0.6013163191036086,"BP, INTC, V, AMZN, NVDA","XOM, V, COP, C, CVX","V, XOM, BP, COP, CVX","XOM, V, COP, C, CVX"
5m_5d_with_vol,w60_t0.3,60,0.3,53.59578697394821,0.004877852890482444,-0.03420843277645187,2,40,606,0.38846153846153847,30.3,3,1.6153846153846154,-0.12121764760411975,0.005221917771309719,24,V,0.042721077881161765,309.2634958417908,0.5103358017191267,144.8178692812407,0.23897338165221235,0.7528891243570339,0.630366063629245,0.5002521432333737,"COP, V, C, MSFT, MS","XOM, V, PYPL, C, CVX","XOM, V, COP, MSFT, C","XOM, V, PYPL, C, CVX"
5m_5d_with_vol,w60_t0.4,60,0.4,9.212995478937325,0.05449678202510652,-0.0410958904109589,4,40,389,0.24935897435897436,19.45,3,1.8416666666666666,-0.16726215628621624,0.00960408790371884,18,V,0.04921171011716081,309.2634958417908,0.7950218402102591,90.44763631763186,0.2325132039013672,0.68181507380799,0.4747866998581251,0.3131052132125855,"COP, MS, MSFT, C, UNH","V, XOM, CVX, UNH, ADBE","V, COP, MSFT, NVDA, UNH","V, CVX, XOM, UNH, ADBE"
