Date,AAPL,ABBV,ADBE,AMD,AMZN,AXP,AZN,BAC,BP,C,COP,CVX,DHR,EQNR,GOOGL,GS,INTC,JNJ,JPM,LLY,MA,META,MRK,MS,MSFT,NVDA,NVO,PBR,PFE,PYPL,SHEL,SLB,TMO,TSLA,TTE,UNH,V,VLO,WFC,XOM
2025-11-05,269.6260986328125,213.27052307128906,335.5299987792969,256.3299865722656,250.1999969482422,363.83892822265625,160.62542724609375,51.88552474975586,34.74191665649414,101.16270446777344,86.22274017333984,149.51129150390625,211.46585083007812,23.140188217163086,283.9242858886719,785.046142578125,38.380001068115234,183.84913635253906,308.7005615234375,922.9119873046875,551.5322875976562,634.88818359375,83.05962371826172,163.39630126953125,505.0597839355469,195.18858337402344,46.745609283447266,12.069226264953613,23.78571891784668,67.69805145263672,73.22228240966797,36.0509147644043,566.6533203125,462.07000732421875,60.341129302978516,323.03973388671875,338.66943359375,168.0460968017578,86.07220458984375,111.94813537597656
2025-11-06,269.25677490234375,215.5038604736328,327.3500061035156,237.6999969482422,243.0399932861328,363.76934814453125,165.8113555908203,52.71648406982422,34.87823486328125,100.32705688476562,84.21710968017578,149.78550720214844,209.93125915527344,23.363718032836914,284.36370849609375,779.592041015625,37.2400016784668,184.8079071044922,310.4239501953125,934.5055541992188,551.50244140625,617.9065551757812,84.4277114868164,161.6553192138672,495.04144287109375,188.05935668945312,44.86459732055664,12.069226264953613,24.017677307128906,65.90763092041016,72.83953094482422,35.86351013183594,564.99609375,445.9100036621094,60.4598503112793,316.9483947753906,335.6018371582031,173.84384155273438,85.17139434814453,112.75564575195312
2025-11-07,267.9592590332031,215.62193298339844,326.95001220703125,233.5399932861328,244.41000366210938,366.56427001953125,167.41465759277344,52.6274528503418,35.618255615234375,100.26736450195312,85.3674087524414,151.82261657714844,209.2038116455078,23.655277252197266,278.4516906738281,778.3646240234375,38.130001068115234,184.4125518798828,311.20635986328125,921.4765014648438,550.1965942382812,620.6719360351562,84.91983032226562,160.60678100585938,494.7626037597656,188.1293487548828,44.063961029052734,12.785028457641602,24.02751350402832,65.86784362792969,74.18404388427734,36.1594123840332,571.4149169921875,429.5199890136719,61.59761428833008,319.56036376953125,334.6656188964844,173.45864868164062,85.61919403076172,115.4342041015625
2025-11-10,269.1781311035156,215.17921447753906,328.8500061035156,243.97999572753906,248.39999389648438,365.9078369140625,173.15481567382812,52.84508514404297,36.1440544128418,100.96373748779297,86.74382781982422,152.43960571289062,210.42950439453125,23.528934478759766,289.7064208984375,789.1144409179688,38.45000076293945,186.2312774658203,313.8607482910156,963.6141967773438,551.1834716796875,630.7052001953125,85.3824234008789,163.26773071289062,503.90460205078125,199.0281524658203,44.314762115478516,12.934154510498047,23.98817253112793,65.8976821899414,75.13600158691406,36.406002044677734,575.34814453125,445.2300109863281,62.2604866027832,316.96807861328125,333.5003356933594,176.97483825683594,85.67890167236328,116.4189682006836
2025-11-11,274.99267578125,221.53489685058594,333.2200012207031,237.52000427246094,249.10000610351562,368.17559814453125,176.34158325195312,53.052825927734375,36.36800765991211,100.2375259399414,89.16238403320312,153.01744079589844,215.03329467773438,24.024587631225586,290.9147644042969,802.0914916992188,37.880001068115234,191.58859252929688,312.6028747558594,985.525390625,556.55615234375,626.0330200195312,89.51620483398438,164.70205688476562,506.573486328125,193.1387939453125,47.41120147705078,13.391472816467285,25.0897216796875,67.04156494140625,75.57763671875,37.09644317626953,585.4705200195312,439.6199951171875,63.2795295715332,322.7539367675781,337.553955078125,178.63417053222656,85.76846313476562,117.9552001953125
2025-11-12,273.21435546875,229.46478271484375,337.04998779296875,258.8900146484375,244.1999969482422,370.7716064453125,173.55067443847656,53.52766036987305,35.890892028808594,102.33658599853516,87.56966400146484,150.1576690673828,218.63063049316406,23.558090209960938,286.3210144042969,830.4608154296875,37.88999938964844,192.14210510253906,317.34710693359375,1014.5941162109375,559.4268798828125,607.9931640625,90.0083236694336,168.0851287841797,509.0233154296875,193.7787322998047,48.481929779052734,12.904328346252441,25.443790435791016,66.84262084960938,74.9887924194336,35.57747268676758,586.9978637695312,430.6000061035156,63.26963424682617,334.1974182128906,338.1826477050781,175.3550262451172,85.83811950683594,116.32049560546875
2025-11-13,272.6948547363281,228.5399627685547,333.6000061035156,247.9600067138672,237.5800018310547,362.77471923828125,175.39149475097656,52.301002502441406,35.530616760253906,100.14798736572266,87.91377258300781,152.3710479736328,220.42433166503906,23.71358871459961,278.19207763671875,797.3302612304688,35.90999984741211,192.99217224121094,306.5216064453125,1019.6681518554688,553.7850952148438,608.8717041015625,91.46499633789062,163.82167053222656,501.205810546875,186.8394775390625,47.42084884643555,12.9540376663208,25.365108489990234,64.98257446289062,74.50790405273438,35.81419372558594,579.12158203125,401.989990234375,64.21942901611328,327.7511901855469,335.3883972167969,173.61668395996094,84.2857437133789,116.98028564453125
2025-11-14,272.15533447265625,228.6088409423828,331.1099853515625,246.80999755859375,234.69000244140625,355.2651672363281,176.3613739013672,52.043800354003906,36.062721252441406,99.7799072265625,89.8309326171875,154.3689727783203,220.43429565429688,24.118192672729492,276.0350036621094,782.8882446289062,35.52000045776367,193.664306640625,300.7076721191406,1023.5716552734375,543.9766845703125,608.4424438476562,91.45515441894531,162.090576171875,508.0672912597656,190.1491241455078,46.55268478393555,13.103163719177246,24.64713478088379,62.47597885131836,75.05876922607422,36.43558883666992,577.7041015625,404.3500061035156,64.70420837402344,317.24407958984375,329.3408508300781,179.52308654785156,84.63404083251953,118.50015258789062
2025-11-17,267.2099609375,230.2223663330078,325.07000732421875,240.52000427246094,232.8699951171875,339.42059326171875,176.95518493652344,50.92596435546875,36.03310775756836,97.68085479736328,88.03490447998047,151.62672424316406,219.66700744628906,23.96030044555664,284.63330078125,767.6939697265625,34.709999084472656,197.2720947265625,297.4986572265625,1019.9976196289062,535.1251831054688,601.0048217773438,91.39610290527344,157.7281951904297,505.388427734375,186.5795135498047,46.745609283447266,13.043512344360352,24.666805267333984,61.56087112426758,74.70209503173828,35.311153411865234,566.174072265625,408.9200134277344,64.318359375,315.92327880859375,325.07965087890625,176.20443725585938,83.01200866699219,116.90081024169922
2025-11-18,267.19000244140625,230.09446716308594,324.4700012207031,230.2899932861328,222.5500030517578,338.8337707519531,177.25210571289062,51.0842399597168,36.22067642211914,97.81017303466797,88.98748779296875,152.1317901611328,224.71920776367188,23.96030044555664,283.8943176269531,768.4263916015625,34.33000183105469,197.68724060058594,296.5478515625,1028.333740234375,525.885009765625,596.6920776367188,94.90982055664062,158.10409545898438,491.74517822265625,181.340087890625,45.86780548095703,13.053454399108887,25.030710220336914,60.377197265625,74.61293029785156,35.54787826538086,575.0287475585938,401.25,64.25899505615234,309.08282470703125,320.51904296875,183.14791870117188,83.44985961914062,118.24187469482422
